RL,ND,CA, NP , LPI , CLUMPY , AI , NLSI
468.2249543,4.155618791,537.27,1152,1.6257,0.7663,77.7475,0.2225
986.9649359,8.163759383,1179.45,4671,1.0391,0.6593,69.2262,0.3077
693.416561,5.925630995,947.96,2206,1.4919,0.7312,75.235,0.2477
918.0687254,7.627944478,844.19,3195,0.9283,0.6981,71.9041,0.281
898.1224238,7.469576792,903.68,2948,0.5665,0.6937,71.6422,0.2836
280.4538193,2.474644037,1064.27,2296,3.3969,0.7298,75.5166,0.2448
358.6793127,3.125187893,1094.13,1863,1.84,0.7488,77.2579,0.2274
1163.757566,9.696780475,1274.53,4336,0.5764,0.6865,71.9569,0.2804
189.5753712,1.749331025,623.59,839,1.0695,0.7594,77.2996,0.227
772.8414798,6.388416152,1858.6,7591,0.9505,0.6498,70.302,0.297
335.3586306,2.838906581,441.19,2264,0.2797,0.6674,67.9766,0.3202
161.6152111,1.512826157,192.2,864,0.1927,0.7402,74.4851,0.2551
486.7887805,4.286538918,1693.04,6852,0.5884,0.6402,69.2899,0.3071
484.404231,4.510507132,1170.36,2151,1.2666,0.7492,77.6273,0.2237
169.5964247,1.550275763,967.98,1337,3.2178,0.7585,77.8922,0.2211
133.072353,1.169174748,225.87,2952,0.0748,0.5652,57.3686,0.4263
325.5806537,2.876188574,793.99,4176,1.7415,0.6628,68.5997,0.314
486.9019122,4.094694399,478.08,1695,0.3644,0.7015,71.3274,0.2867
547.1172873,4.817080276,2099.83,7494,1.5618,0.6362,70.2347,0.2977
1322.757613,11.62613397,4062.71,4514,6.9837,0.6702,78.5971,0.214
597.5284716,5.254871987,1632.15,4525,1.7872,0.6823,72.7264,0.2727
554.8096333,4.649958546,465.68,1584,0.5267,0.6783,69.0564,0.3094
162.57098,1.460650457,1189.34,2388,2.9467,0.7657,78.9858,0.2101
230.8424288,2.038133759,723.72,1796,3.5892,0.7316,74.8656,0.2513
786.2095622,7.151131553,246.77,3064,0.1212,0.5401,55.0195,0.4498
577.7759037,4.888493973,545.54,2531,0.6451,0.6619,67.7522,0.3225
439.4539187,4.303361968,902.22,1851,1.1376,0.7304,75.4091,0.2459
762.8663593,6.57154261,806.13,1960,1.8892,0.7298,74.803,0.252
254.0003026,2.146987925,700.14,1650,1.7936,0.7087,72.5824,0.2742
953.0077344,8.246964206,1260.05,2906,1.005,0.714,74.4142,0.2559
611.8528678,5.46670363,1063.62,2984,0.6627,0.7233,74.9438,0.2506
409.3990836,3.605064815,1535.15,6443,0.5904,0.6451,69.2345,0.3077
508.9307625,4.344229108,775.99,2018,2.663,0.739,75.5891,0.2441
318.0637916,2.625343283,88.54,629,0.263,0.6856,68.7882,0.3121
322.2674538,2.751896105,710.44,1347,0.6774,0.7508,76.5757,0.2342
1126.012517,9.903253239,2484.43,6723,3.895,0.646,72.2057,0.2779
1502.433325,13.20630332,4011.79,5143,7.2529,0.6538,77.3928,0.2261
209.5058119,1.846192713,296.05,2778,0.7978,0.6252,63.4808,0.3652
179.0927917,1.50432343,1031.73,1217,2.5555,0.7942,81.1534,0.1885
292.6788087,2.847237269,965.17,2601,2.319,0.7252,75.0987,0.249
274.098498,2.481953062,522.26,3641,0.5802,0.6508,66.6885,0.3331
373.9866728,3.175982136,856.27,1922,2.6251,0.7303,74.9666,0.2503
443.3545053,3.75887156,629.66,2220,0.4437,0.697,71.3179,0.2868
453.2190327,3.991076492,1573.39,6639,0.5916,0.6395,68.8544,0.3115
441.6324556,3.650448248,558.42,2909,0.6149,0.6731,68.8124,0.3119
208.5611422,1.871645681,670.85,1562,2.529,0.7567,77.127,0.2287
931.2608728,8.191592267,2326.56,6456,1.9227,0.6437,71.5452,0.2845
323.7678628,2.734730837,650.74,1366,0.6437,0.7156,73.1172,0.2688
423.0573201,3.857892738,207.8,2240,0.1965,0.5906,59.8168,0.4018
260.248756,2.321402777,987.12,2208,1.082,0.7411,76.3607,0.2364
401.3241479,3.608238024,668.23,1609,1.1752,0.759,77.3293,0.2267
201.7721392,1.698673258,84.94,554,0.0238,0.6818,68.4104,0.3159
266.9333497,2.377129721,805.23,2605,0.4868,0.6978,71.9164,0.2808
139.3779333,1.22306268,709.94,5562,0.2656,0.6374,65.9644,0.3404
329.2297079,2.790098427,841.91,2486,0.6627,0.7041,72.5127,0.2749
130.3854937,1.156210968,782.13,1872,1.8655,0.7385,75.6502,0.2435
133.7079471,1.17180173,439.18,4892,0.2998,0.5907,60.6262,0.3937
886.0376598,7.783227588,3856.39,5272,7.6276,0.714,80.951,0.1905
119.647989,0.998233497,406.92,1358,0.2439,0.742,75.0654,0.2493
1607.332667,14.119305,5657.7,3508,6.1855,0.6771,83.5228,0.1648
109.7921068,0.999181806,671.1,1943,2.3813,0.74,75.5776,0.2442
1875.131487,17.31046878,3846.41,3198,6.7294,0.6871,79.474,0.2053
256.0153366,2.244718408,506.07,4667,0.1597,0.617,63.3718,0.3663
114.1902293,0.968316871,522.87,1820,0.5478,0.6877,70.142,0.2986
159.0419554,1.355977921,430.03,1890,0.3597,0.7059,71.6395,0.2836
246.5479418,2.093376757,451.51,1585,0.501,0.6932,70.4863,0.2951
167.7468019,1.420384,420.98,1814,1.7428,0.6759,68.739,0.3126
